简体中文(源),参考语言(英文),资源编码
MTBF(h)左区间不能小于0,The left interval of MTB (h) cannot be less than 0.,P_YS_AM_AOM-FE_1492251151152709638
MTTR(h)左区间不能小于0,The left interval of MTTR(h) cannot be less than 0,P_YS_AM_AOM-FE_1492251151152709641
MTTR(h)右区间不能小于0,MTTR(h) right interval cannot be less than 0,P_YS_AM_AOM-FE_1492276087732830209
MTBF(h)右区间不能小于0,MTBF(h) right interval cannot be less than 0,P_YS_AM_AOM-FE_1492276087732830212
第{0}行的故障发生时间必须早于故障结束时间,The time of failure in line {0} must be earlier than the failure end time,P_YS_AM_AOM-FE_1514552975026028546
"识别码：{0}格式错误, 请重新录入",Identification Code: {0} format is incorrect. Please enter again,P_YS_AM_AOM-FE_1741691538784124931
录入编制日期，非必填！注意：日期格式YYYY-MM-DD,Enter the creation date; optional. Note: date format: YYYY-MM-DD,P_YS_AM_AOM-UI_0001556915
抵押率(%),Collateral Rate (%),P_YS_AM_AUM-UI_0001211731
调拨前净残值率%,Pre-transferring Net Residual Value Rate %,P_YS_AM_AUM-UI_0001212034
模板类型(pc/mobile),Template Type (pc/mobile),P_YS_AM_AUM-UI_1726868550089965664
比例增减(%),Proportion Increase/Decrease (%),P_YS_AM_AUM-UI_1775768590987296807
变动前分摊比例(%),Pre-Change Allocation Proportion (%),P_YS_AM_AUM-UI_1775768590987296840
转移前比例(%),Pre-Transfer Proportion (%),P_YS_AM_AUM-UI_1775768590987296921
投保日期不能晚于第{0}行保险开始日期！,The insurance date cannot be later than the insurance start date in line {0},P_YS_AM_AUMF_0001318163
存在：{0}项（已盘{1}项）,Existing: {0} items ({1} items counted),P_YS_AM_AUMF_0001318164
本次读取{0}项资产:,{0} assets read this time:,P_YS_AM_AUMF_0001318165
第[{0}]行资产编码、资产名称、资产类别至少有一项不能为空；,"At least one of the asset code, asset name and asset category in line [{0}] is required",P_YS_AM_AUMF_0001318166
该盘盈单的条形码与第{0}行重复，请重新输入,The barcode of the inventory gain Doc is duplicate with that in line {0}. Please enter again,P_YS_AM_AUMF_0001318168
不存在：{0}项,Not existing: {0} items,P_YS_AM_AUMF_0001318170
您已经借用{0}台资产，不予借用，请及时归还资产！,"You have already borrowed {0} assets, and cannot borrow any more. Please return the assets in time",P_YS_AM_AUMF_0001318174
报废位置不能与资产卡片位置相同，请修改：第{0}行,The scrap location cannot be the same as the asset card location. Please modify: line {0},P_YS_AM_AUMF_0001318175
第[{0}]行，[位置]与[归还位置]不能相同!,The location and return-to location in line [{0}] cannot be the same,P_YS_AM_AUMF_0001318178
合同基本（页签）第{0}行：{1}的变动会导致租金计算明细（页签）对应表体租金的重新计算！”点击确定保存时重新计算，点击取消返回单据,"Changing {1} in line {0} of the Basic Contract Info tab will lead to recalculation of the corresponding rent in the detail of the Rent Calc. Details tab. Click OK to recalculate upon saving, or click Cancel to return to the Doc",P_YS_AM_AUMF_0001425951
第{0}行资产名称、资产类别、物料编码不得同时为空,"The asset name, asset category and material code in line {0} cannot be null at the same time",P_YS_AM_AUMF_0001425961
第【{0}】行，【位置】与【使用位置】不能相同!,The location and location used in line [{0}] cannot be the same,P_YS_AM_AUMF_0001567299
序号为{0}的起算日期不能小于合同生效日期,The start date in line {0} cannot be earlier than the effective date of the contract,P_YS_AM_AUMF_0001567302
索赔日期不能晚于第[{0}]行的赔付日期,The claim date cannot be later than the compensation date in line [{0}],P_YS_AM_AUMF_0001567306
序号为{0}的租入日期不能小于合同生效日期,The lease-in date in line {0} cannot be earlier than the effective date of the contract,P_YS_AM_AUMF_0001567307
序号为{0}的租入日期不能大于计划归还日期,The lease-in date in line {0} cannot be later than the planned return date,P_YS_AM_AUMF_0001567308
{0}的变动会导致租金计算明细（页签）对应表体租金的重新计算！点击确定保存时重新计算，点击取消返回单据,"Changing {0} will lead to recalculation of the rent in the detail corresponding to the Rent Calc. Details tab. Click OK to recalculate upon saving, or click Cancel to return to the Doc",P_YS_AM_AUMF_0001567310
第{0}行预计结束时间不能早于实际开始时间,The predicted end time in line {0} cannot be earlier than the actual start time,P_YS_AM_AUMF_0001567316
您选定的 【{0}】 资产类别无空闲资产，无法借用！,There is no idle asset under the selected asset category [{0}]. Cannot borrow,P_YS_AM_AUMF_0001567324
序号为{0}的资产编码与序号为{0}的资产编码重复,The code of asset {0} is duplicate with that of asset {0},P_YS_AM_AUMF_0001567328
序号为{0}的资产类别和资产名称不能同时为空,The asset category and name in line {0} cannot be null at the same time,P_YS_AM_AUMF_0001567347
序号为{0}的租入仓库不允许为空,Lease-in warehouse {0} is required,P_YS_AM_AUMF_0001567350
序号为{0}的资产类别、资产名称和物料编码不能同时为空,"The asset category, asset name and material code in line {0} cannot be null at the same time",P_YS_AM_AUMF_0001567352
确认对申请中的资产/租赁对象{0}设置为不可出租吗？,Confirm to set the applied asset/lease object {0} as non-rentable?,P_YS_AM_AUMF_0001567357
序号为{0}的库存组织不允许为空,Inventory Org {0} is required,P_YS_AM_AUMF_0001567360
序号为{0}的计划归还日期不能小于租入日期,The planned return date of SN {0} cannot be earlier than the lease-in date,P_YS_AM_AUMF_0001567368
资产 {0} 在计划约检日期内已被其他用户办理检验业务，不能重复办理；,Inspection of asset {0} has already been processed by another user on the planned inspection date. Cannot process again,P_YS_AM_AUMF_0001567380
续签后合同的结束日期至少大于现有合同的结束日期{0}请调整,The end date of the renewed contract must be later than end date {0} of the existing contract. Please adjust,P_YS_AM_AUMF_0001574969
资产{0}已经归还成功！,Asset {0} has been returned successfully,P_YS_AM_AUMF_0001578645
资产{0}需要填写实际归还人,Returned By is required for asset {0},P_YS_AM_AUMF_0001588210
资产{0}需要填写实际归还日期及实际归还人,Actual Return Date and Returned By are required for asset {0},P_YS_AM_AUMF_0001588211
资产{0}需要填写实际归还日期,Actual Return Date is required for asset {0},P_YS_AM_AUMF_0001588212
序号为{0}的承租客户不能为空,Lessee customer {0} is required,P_YS_AM_AUMF_0001604218
序号为{0}的散户承租方不能为空,Short-term BP lessee {0} is required,P_YS_AM_AUMF_0001604219
序号为{0}的承租员工不能为空,Lessee employee {0} is required,P_YS_AM_AUMF_0001604220
序号为{0}的承租对象类型不能为空,Lessee object type {0} is required,P_YS_AM_AUMF_0001604221
序号为{0}的资产名称、资产类别、租赁对象描述，不能同时为空,"The asset name, asset category and lease object description in {0} cannot be null at the same time",P_YS_AM_AUMF_0001636761
序号为{0}的数量不能为0,The Qty in line {0} cannot be 0,P_YS_AM_AUMF_1481690582501294081
序号为{0}的抵扣金额需要大于0,The deducted Amt (SN {0}) must be greater than 0,P_YS_AM_AUMF_1497411803489501188
第{0}行发票种类不得为空,The invoice category in line {0} is required,P_YS_AM_AUMF_1501282685700538377
第{0}行租入资产所在位置属于仓库位置，需要填写库存组织和租入仓库信息,"The lease-in asset in line {0} belongs to the warehouse location, and the inventory Org and lease-in warehouse are required",P_YS_AM_AUMF_1504097418302455814
第{0}行租入资产所在位置属于仓库位置，需要填写库存组织信息,"The lease-in asset in line {0} belongs to the warehouse location, and the inventory Org is required",P_YS_AM_AUMF_1504097418302455817
第{0}行租入资产所在位置属于仓库位置，需要填写租入仓库信息,"The lease-in asset in line {0} belongs to the warehouse location, and the lease-in warehouse is required",P_YS_AM_AUMF_1504097418302455820
选择的待结算租金在租入期间[{0}，{1}]内存在未审核通过的运营数据，无法结算,"There is unapproved operation data for the selected rent to be settled in lease-in period [{0}, {1}]. Cannot settle",P_YS_AM_AUMF_1504974519351640067
选择的待结算租金在租入期间[{0}，{1}]内存在协同方未确认的运营数据，无法结算,"There is operation data not confirmed by the collaborator for the selected rent to be settled in lease-in period [{0}, {1}]. Cannot settle",P_YS_AM_AUMF_1504974519351640070
第{0}行承租对象类型为原定时，需要填写承租员工信息,"When the lessee object type in line {0} is employee, the lessee employee Info is required",P_YS_AM_AUMF_1507878003111624704
第{0}行需要填写散户承租方,The short-term BP lessee in line {0} is required,P_YS_AM_AUMF_1507878003111624707
第{0}行承租对象类型为客户时，需要填写承租客户信息,"When the lessee object type in line {0} is customer, the lessee customer Info is required",P_YS_AM_AUMF_1507878003111624710
第{0}行的资产名称、资产类别、租赁对象描述，不能同时为空,"The asset name, asset category and lease object description in line {0} cannot be null at the same time",P_YS_AM_AUMF_1507878003111624713
第{0}行的数量需要大于0,The Qty in line {0} must be greater than 0,P_YS_AM_AUMF_1507878003111624716
第{0}行需要填写承租对象类型,The lessee object type in line {0} is required,P_YS_AM_AUMF_1507878003111624719
第{0}行的抵扣金额应小于等于待收回押金金额,The deduction Amt in line {0} should be less than or equal to the deposit Amt to be withdrawn,P_YS_AM_AUMF_1509300015252635651
第{0}行的抵扣金额需要大于0,The deduction Amt in line {0} should be greater than 0,P_YS_AM_AUMF_1509300015252635654
第{0}行承租对象类型为员工时，需要填写承租员工信息,The lessee employee Info is required when the lessee object type in line {0} is employee,P_YS_AM_AUMF_1511561530304364547
选择的待结算租金在租出期间[{0}，{1}]内存在协同方未确认的运营数据，无法结算,"There is operation data that has not been confirmed by the collaborator for the selected rent to be settled in lease-out period [{0}, {1}]. Cannot settle",P_YS_AM_AUMF_1514371400960311303
选择的待结算租金在租出期间[{0}，{1}]内存在未审核通过的运营数据，无法结算,"There is unapproved operation data for the selected rent to be settled in lease-out period [{0}, {1}]. Cannot settle",P_YS_AM_AUMF_1514371400960311306
序号为{0}的计划归还日期不能小于租出日期,The planned return date cannot be earlier than the lease-out date in line {0},P_YS_AM_AUMF_1523290716600008712
序号为{0}的起算日期不能小于租出日期,The start date cannot be earlier than the lease-out date in line {0},P_YS_AM_AUMF_1523290716600008715
序号为{0}的发生日期不能大于经办日期,The occurrence date with SN {0} cannot be later than the handling date,P_YS_AM_AUMF_1523476293561614336
第{0}行租金计算方式为计算方法，租金计算方法不可为空,"The rent calculation method in line {0} is calculation method, and Rent Calculation Formula is required",P_YS_AM_AUMF_1524772574821089285
序号为{0}的租出日期不能大于计划归还日期,The lease-out date in line {0} cannot be later than the planned return date,P_YS_AM_AUMF_1530242413243662340
租控图设置为仅支持租赁对象，第{0}行资产卡片编码应唯一。,The rent control chart is set to only support lease objects. The asset card code in line {0} should be unique.,P_YS_AM_AUMF_1541858848070959105
根据条件筛选出的资产数量为{0}，您填写的数量已超出，继续将以{1}个资产{2}进行抽盘，是否继续?,"The quantity of assets filtered out according to the criteria is {0}, and the quantity you filled in has exceeded the value. If you continue, {1} assets {2} will be used for selective re-counting. Do you want to continue?",P_YS_AM_AUMF_1585860495949692935
您一共筛选出{0}个资产，{1}进行抽盘，是否继续?,"You have filtered out {0} assets in total, including {1} for selective re-counting. Continue?",P_YS_AM_AUMF_1585860495949692944
所选的计量器具 {0} 中有不合格的检定记录，不能申请降级使用。,The selected measuring instrument {0} involves unqualified verification records. Cannot apply for degraded use.,P_YS_AM_AUMF_1589498419156090889
所选的计量器具 {0} 中有不合格的检定记录，不能校准。,The selected measuring instrument {0} involves unqualified verification records. Cannot calibrate.,P_YS_AM_AUMF_1589498419156090895
所选的计量器具 {0} 中有不合格的检定记录，不能忽略。,The selected measuring instrument {0} involves unqualified verification records. Cannot be ignored.,P_YS_AM_AUMF_1589498419156090904
已拒绝接收资产{0}{1},Refused to receive assets {0}{1},P_YS_AM_AUMF_1592625078042361862
特种设备目录[{0}]有子集目录，是否删除？,The special equipment directory [{0}] has a subset directory. Do you want to delete it?,P_YS_AM_AUMF_1602172128901726223
第{0}行合同基本的第{1}行含税周期单价开始时间必须在起租日期和止租日期之间,"For the basic contract information in line {0}, the start time of the period unit price including tax in line {1} must be between the lease start date and the lease end date",P_YS_AM_AUMF_1613336956537667598
第{0}行，开始日期大于截止日期。,"In line {0}, the start date is later than the end date.",P_YS_AM_AUMF_1619080770900983809
拟处置位置不能与资产卡片位置相同，请修改：第{0}行,The proposed disposal location cannot be the same as the asset card location. Please modify: line {0},P_YS_AM_AUMF_1624482516909948937
该差异调整单的条形码与第{0}行重复，请重新输入,The barcode of this variance adjustment document duplicates with that in line {0}. Please enter again,P_YS_AM_AUMF_1630921531905277961
该盘点单的条形码与第{0}行重复，请重新输入,The barcode of this stocktaking sheet duplicates with that in line {0}. Please enter again,P_YS_AM_AUMF_1631060242169069573
该自助盘点的条形码与第{0}行重复，请重新输入,The barcode of this self-service stocktaking duplicates with that in line {0}. Please enter again,P_YS_AM_AUMF_1633133826605580292
资产[{0}]不是借用资产，不支持续借,The asset [{0}] is not a borrowed asset and cannot be renewed,P_YS_AM_AUMF_1653368688829530119
[{0}]资产已经处理，不能重复发起闲置豁免申请。,Asset [{0}] has been processed. Cannot repeatedly initiate an idling exemption application.,P_YS_AM_AUMF_1663754357837922312
[{0}]资产已经处理，不能重复确认为闲置状态。,Asset [{0}] has been processed. Cannot be repeatedly confirmed as idle status.,P_YS_AM_AUMF_1663754357837922321
资产{0}调整归还日期成功。,Return date successfully adjusted for asset {0}.,P_YS_AM_AUMF_1674142904468111360
[{0}]资产没有借用单，不能调整归还日期。,Asset [{0}] has no borrowing document. Cannot adjust the return date.,P_YS_AM_AUMF_1675625930909286417
[{0}]资产不是借用单，不能调整归还日期。,Asset [{0}] is not a borrowing document. Cannot adjust the return date.,P_YS_AM_AUMF_1675625930909286420
第{0}行资产已录入在当前单据中，已导入其他资产,"The asset in line {0} has been entered in the current document, and other assets have been imported",P_YS_AM_AUMF_1685219195641397256
第{0}行资产的所有权不属于所选的所有权组织,The ownership of the asset in line {0} does not belong to the selected organization with ownership,P_YS_AM_AUMF_1685219195641397259
第{0}行资产不在{1}下，请检查,The asset in line {0} is not under {1}. Please check,P_YS_AM_AUMF_1685219195641397262
资产[{0}]不是闲置资产，不支持所有权调出,Asset [{0}] is not an idle asset and ownership transfer-out is not supported,P_YS_AM_AUMF_1686769558570926087
资产[{0}]不是闲置资产，不支持封存,Asset [{0}] is not an idle asset and sealing is not supported,P_YS_AM_AUMF_1686769558570926090
资产[{0}]不是闲置资产，不支持借用,Asset [{0}] is not an idle asset and borrowing is not supported,P_YS_AM_AUMF_1686769558570926093
资产[{0}]不是闲置资产，不支持使用权调出,Asset [{0}] is not an idle asset and right of use transfer-out is not supported,P_YS_AM_AUMF_1686769558570926096
资产[{0}]不是封存资产，不支持启封,Asset [{0}] is not a sealed asset and unsealing is not supported,P_YS_AM_AUMF_1686769558570926099
资产[{0}]不是闲置资产，不支持领用,Asset [{0}] is not an idle asset and collection is not supported,P_YS_AM_AUMF_1686769558570926102
单据{0}不存在或已经删除。,Document {0} does not exist or has been deleted.,P_YS_AM_AUMF_1700896702435688454
{0}对物料 {1} {2} 的验收设置重复，请检查。,{0}'s acceptance settings for the material {1} {2} are duplicated. Please check.,P_YS_AM_AUMF_1705144992045989897
{0}对物料分类 {1} {2} 的验收设置重复，请检查。,{0}'s acceptance settings for the material category {1} {2} are duplicated. Please check.,P_YS_AM_AUMF_1705144992045989900
第{0}行的资产卡片{1}，不支持绑定到多个租控区域，请确认资产卡片与租控区域的绑定关系。,"In line {0}, the asset card {1} cannot be bound to multiple rent control areas. Please confirm the binding relationship between the asset card and the rent control area.",P_YS_AM_AUMF_1751859092158152711
资产{0}生成{1}时，不符合交易规则设置要求，不允许生单。,The transaction rule setting requirement is not met when asset {0} generates {1}. Cannot generate a document.,P_YS_AM_AUM_1702317984418627586
分配的比例和不是100%，请确认,The sum of allocation proportion is not 100%. Please confirm,P_YS_AM_AUM_1744707353127157767
资产卡片{0}的分配比例与单据中填写的比例相同，请确认,The allocation proportion of the asset card {0} is the same as the proportion filled in the document. Please confirm,P_YS_AM_AUM_1748111750366494727
资产卡片{0}的分配信息已发生变化，不能弃审,The location information of asset card {0} has changed. Cannot revoke approval,P_YS_AM_AUM_1748230205579198470
"上传文件数量超过限制，当前支持最大上传数量为：{0}, 请分次上传！","The number of uploaded files exceeds the limit. Currently, the maximum number of files that can be uploaded is {0}. Please upload in batches.",P_YS_AM_RMM-BE_1705289354486743142
序号[{0}] 请保证加油或换油信息其中一项完整性：加油信息[加油周期、加油周期单位、加油量、加油负责班组或加油负责人、下次加油日期]与换油信息[换油周期、换油周期单位、换油量、换油负责班组或换油负责人、下次换油日期]不能同时为空。,"No. [{0}] Please ensure completeness of the refueling or oil change information: The refueling information [Refueling Cycle, Refueling Cycle Unit, Refueling Mass, Refueling Responsible Crew or Person-in-Charge of Refueling, and Next Refueling Date] and oil change information [Oil Change Cycle, Oil Change Cycle Unit, Oil Change Mass, Oil Change Responsible Crew or Person-in-Charge of Oil Change, and Next Oil Change Date] cannot be empty at the same time.",P_YS_AM_RMM-BE_1741582085837553672
序号[{0}] 请保证加油或换油信息其中一项完整性：加油信息[加油周期、加油周期单位、加油负责班组或加油负责人、下次加油日期]与换油信息[换油周期、换油周期单位、换油负责班组或换油负责人、下次换油日期]不能同时为空。,"No. [{0}] Please ensure completeness of the refueling or oil change information: The refueling information [Refueling Cycle, Refueling Cycle Unit, Refueling Responsible Crew or Person-in-Charge of Refueling, and Next Refueling Date] and oil change information [Oil Change Cycle, Oil Change Cycle Unit, Oil Change Responsible Crew or Person-in-Charge of Oil Change, and Next Oil Change Date] cannot be empty at the same time.",P_YS_AM_RMM-BE_1772623790150254612
序号【{0}】加油信息(加油周期、加油周期单位、加油负责班组或加油负责人)或换油信息(换油周期、换油周期单位、换油负责班组或换油负责人)不能同时为空,"No. [{0}]: The refueling information (Refueling Cycle, Refueling Cycle Unit, and Refueling Responsible Crew or Person-in-Charge of Refueling) or oil change information (Oil Change Cycle, Oil Change Cycle Unit, and Oil Change Responsible Crew or Person-in-Charge of Oil Change) cannot be empty at the same time",P_YS_AM_RMM-BE_1772631890458574857
预防性维护【{0}】不满足查看条件，无法查看未来生成计划！,The conditions for viewing preventive maintenance [{0}] are not met. Cannot view the future generation plan,P_YS_AM_RMM-FE_0001376413
预防性维护编码【{0}】，只能选择一条下一工单读数不为空的测量点，进行调整！,You can only select to adjust a measurement point with the next case reading not being null in preventive maintenance [{0}],P_YS_AM_RMM-FE_0001376421
预防性维护【{0}】，绩效频率行信息不能为空！,The performance frequency line Info is required in preventive maintenance [{0}],P_YS_AM_RMM-FE_0001376422
计划编制任务{0}已为无计划状态，无需再次变更为无计划！,Plan making task {0} already is in unplanned status. No need to change to unplanned status again,P_YS_AM_RMM-FE_0001567251
计划编制任务【{0}】不是已发布状态，不能取消发布！,Plan making task [{0}] is not in published status. Cannot unpublish,P_YS_AM_RMM-FE_0001567254
计划编制任务【{0}】【{1}】任务已结束，无需再次继续编制!,Plan making task [{0}][{1}] has ended. No need to proceed,P_YS_AM_RMM-FE_0001567256
任务发布【{0}】【{1}】提交截止日期小于发布日期，无法进行发布！,The submission deadline of task [{0}][{1}] is earlier than the publishing date. Cannot publish,P_YS_AM_RMM-FE_0001567257
计划编制任务【{0}】不是开立状态，不能发布！,Plan making task [{0}] is not in opened status. Cannot publish,P_YS_AM_RMM-FE_0001567258
计划编制任务【{0}】不是已发布状态，不能作废！,Plan making task [{0}] is not in published status. Cannot void,P_YS_AM_RMM-FE_0001567272
计划编制任务{0}任务已结束，无需再次继续编制!,Plan making task {0} has ended. No need to proceed,P_YS_AM_RMM-FE_0001567277
申请详情中第{0}行资产编码和卡片编码不能同时为空，请确认。,"In the application details, the asset code and card code in line {0} cannot be null at the same time. Please confirm",P_YS_AM_RMM-FE_0001567280
作业序号【{0}】已被引用，不可删行！,Operation [{0}] has been referenced. Cannot delete the line,P_YS_AM_RMM-FE_0001567285
计划编制任务{0}已为未编制状态，无需再次继续编制!,Plan making task {0} already is in Not Prepared status. No need to proceed,P_YS_AM_RMM-FE_0001567290
维修申请行{0}未生成修复工单，是否确认要关闭?,No repair case has been generated for line {0} in the repair application. Confirm to close?,P_YS_AM_RMM-FE_0001623961
维修申请单号{0}存在未生成修复工单的申请信息，是否确认要关闭?,There is application Info in repair application {0} from which no repair case was generated. Confirm to close?,P_YS_AM_RMM-FE_0001623962
维修申请行备件码{0}未生成备件修复记录，是否确认要关闭？?,No spare part repair record has been generated for spare part {0} in the repair application line. Confirm to close?,P_YS_AM_RMM-FE_0001623963
维修申请备件码{0}未生成备件修复记录，是否确认要关闭？,No spare part repair record generated for spare part {0} in the repair application. Confirm to close?,P_YS_AM_RMM-FE_0001629723
维修申请行备件码{0}未生成备件修复记录，是否确认要关闭?,No spare part repair record was generated for spare part code {0} in the repair application line. Confirm to close?,P_YS_AM_RMM-FE_0001646615
维修申请单号{0}存在未生成备件修复记录的申请信息，是否确认要关闭?,There is application Info in repair application {0} from which no spare part repair record was generated. Confirm to close?,P_YS_AM_RMM-FE_1439426094204715008
物料编码【{0}】【{1}】已启用备件管理标记，无法进行复制！,"The code [{0}] [{1}] has been marked with spare parts management, and cannot be copied!",P_YS_AM_RMM-FE_1468546316068454400
序号【{0}】物料代码【{1}】退库数量与选择的备件码不一致，请进行数量调整!,"The serial number [{0}] material code [{1}] is inconsistent with the selected spare part code, please adjust the quantity!",P_YS_AM_RMM-FE_1478210611006930953
单据【{0}】来源于预防性维护，不可修改！,Doc [{0}] is sourced from preventive maintenance and cannot be modified,P_YS_AM_RMM-FE_1503206100897366023
物料分类编码【{0}】【{1}】已启用，无需启用！,Material classification code [{0}] [{1}] has been enabled. Do not enable again!,P_YS_AM_RMM-FE_1504080959995641859
物料编码【{0}】【{1}】已启用，无需启用！,Material code [{0}] [{1}] has been enabled. Do not enable again!,P_YS_AM_RMM-FE_1504080959995641865
勾选的第{0}行数据是开立态或者已关闭状态，不可生成工单,The data checked in line {0} is in opened or closed status. Cannot generate the case,P_YS_AM_RMM-FE_1510217007972220935
工作票{0}时间不能早于{1}时间,Work permit {0} time cannot be earlier than {1} time,P_YS_AM_RMM-FE_1701520211448954883
结算合同【{0}】结算次数不能大于维修次数，请确认后修改,The No. of settlements of settlement contract [{0}] cannot be greater than the No. of repair times. Please confirm and modify,P_YS_AM_RMM-FE_1701520211448954895
序号【{0}】下次加油日期不能小于当前系统日期,"For No. [{0}], the next refueling date cannot be earlier than the current system date",P_YS_AM_RMM-FE_1741638289779589123
序号【{0}】下次换油日期不能小于当前系统日期,"For No. [{0}], the next oil change date cannot be earlier than the current system date",P_YS_AM_RMM-FE_1741638289779589132
序号【{0}】下次加油日期不能小于等于上次实际加油日期,"For No. [{0}], the next refueling date cannot be earlier than or equal to the last actual refueling date",P_YS_AM_RMM-FE_1741638289779589141
序号【{0}】下次换油日期不能小于等于上次实际换油日期,"For No. [{0}], the next oil change date cannot be earlier than or equal to the last actual oil change date",P_YS_AM_RMM-FE_1741638289779589144
序号【{0}】加油班组、加油负责人、换油负责班组、换油负责人必填之一,"For [{0}], the refueling crew, person-in-charge of refueling, oil change responsible crew, or the person-in-charge of oil change is required",P_YS_AM_RMM-FE_1741638289779589156
序号[{0}] 加油周期与换油周期不能同时为空,"For No. [{0}], the refueling cycle and oil change cycle cannot be empty at the same time",P_YS_AM_RMM-FE_1741638289779589183
序号【{0}】加油周期有值时，加油周期单位必须有值,"For No. [{0}], when the refueling cycle is set with a value, the refueling cycle unit must be set with a value",P_YS_AM_RMM-FE_1741638289779589186
行号【{0}】【润滑部位】规定用油发生变更，变更后清空润滑行信息，请确认是否变更！,"Prescribed oil in line No. [{0}] [Lubrication Part] has changed, and the lubrication line information will be cleared after the change. Please confirm whether to change.",P_YS_AM_RMM-FE_1757277382383763459
行号【{0}】【{1}】规定用油发生变更，变更后清空润滑行信息，请确认是否变更！,"Prescribed oil in line No. [{0}] [{1}] has changed, and the lubrication line information will be cleared after the change. Please confirm whether to change.",P_YS_AM_RMM-FE_1757277382383763462
ended,ended,P_YS_AM_RMM-REPORT_1789686569932161191
录入经办日期，非必填！注意：日期格式YYYY-MM-DD,Enter the handling date (optional). Note: Data format is YYYY-MM-DD,P_YS_AM_RMM-UI_1743284842778853385
当“已执行”录入否时，不可填写；当“已执行”录入是时，必须填写；注意：日期格式YYYY-MM-DD HH:MM:SS,"When No is entered for ""Executed"", the field cannot be filled in; when Yes is entered for ""Executed"", this field is required; Note: The data format is YYYY-MM-DD HH:MM:SS",P_YS_AM_RMM-UI_1743284842778853451
录入下次换油日期，非必填！填写时需要大于等于实际换油时间，注意：日期格式YYYY-MM-DD,Enter the next oil change date (optional). The filled value must be later than or equal to the actual oil change time. Note: The date format is YYYY-MM-DD,P_YS_AM_RMM-UI_1748206265424150548
录入计划换油日期，非必填！注意：日期格式YYYY-MM-DD,Enter the planned oil change date (optional). Note: Data format is YYYY-MM-DD,P_YS_AM_RMM-UI_1757320529641996380
failure,-,P_YS_AM_UCF-AMC-AMBD-MD_1542033146433765439
执行率(%),Execution Rate (%),P_YS_AM_UCF-AMC-AOM-MD_0001621949
CODE,-,P_YS_AM_UCF-AMC-AUM-MD_0001595609
当前单据{0}第{1}行资产卡片{2}已经存在{3}{4}，请确认后处理。,"For the current document {0}'s line {1}, the asset card {2} already involves {3}{4}. Please process after confirmation.",P_YS_AM_UCF-AMC-AUM-MD_1774288244620394501
请求地址:{0}失败，原因: {1}。,!!!!!!!!,P_YS_CLMS_CONTRACT-BASS-BE_1780888930729066531
accpurpose,-,P_YS_CO_CO-REPORT_1549421306216185994
controlscope,-,P_YS_CO_CO-REPORT_1549421306216185997
cspecs,cspecs,P_YS_CO_CO-REPORT_1549421306216186021
displayname,-,P_YS_CO_CO-REPORT_1549421306216186027
accbookId,accbookId,P_YS_CO_CO-REPORT_1549421306216186030
costClass,-,P_YS_CO_CO-REPORT_1549421306216186042
manageClassName,-,P_YS_CO_CO-REPORT_1549421306216186045
costClassName,costClassName,P_YS_CO_CO-REPORT_1549421306216186048
accentityId,accentityId,P_YS_CO_CO-REPORT_1549421306216186057
material,-,P_YS_CO_CO-REPORT_1549425850292633606
stockorg,stockorg,P_YS_CO_CO-REPORT_1549425850292633621
accsubjectchart,-,P_YS_CO_CO-REPORT_1549425884652372003
accountbooktype,-,P_YS_CO_CO-REPORT_1549425884652372024
costelementtable,-,P_YS_CO_CO-REPORT_1549425884652372027
cashflowtype,-,P_YS_CO_CO-REPORT_1549425884652372030
currencyreducedparam,-,P_YS_CO_CO-REPORT_1549425884652372033
exchangeratescheme,-,P_YS_CO_CO-REPORT_1549425884652372036
issecond,-,P_YS_CO_CO-REPORT_1549425884652372039
auxShow,-,P_YS_CO_CO-REPORT_1549425884652372042
accountbookattributes,-,P_YS_CO_CO-REPORT_1549425884652372045
periodyear,-,P_YS_CO_CO-REPORT_1549425884652372063
periodtree,-,P_YS_CO_CO-REPORT_1549425884652372069
codedate,-,P_YS_CO_CO-REPORT_1549425884652372072
localcode,-,P_YS_CO_CO-REPORT_1549425884652372075
stockorgId,stockorgId,P_YS_CO_CO-REPORT_1549426193888968757
costTypeId,costTypeId,P_YS_CO_CO-REPORT_1549426193888968760
simulationSchemeId,simulationSchemeId,P_YS_CO_CO-REPORT_1549426193888968763
isVersion,-,P_YS_CO_CO-REPORT_1549426193888968766
citem,citem,P_YS_CO_CO-REPORT_1549426193888968823
cspec,cspec,P_YS_CO_CO-REPORT_1549426193888968826
costsource,costsource,P_YS_CO_CO-REPORT_1549426193888968841
timezone,-,P_YS_CO_CO-REPORT_1549426494537728006
enabledate,-,P_YS_CO_CO-REPORT_1549426494537728009
expiredate,-,P_YS_CO_CO-REPORT_1549426494537728012
childUnitCost,childUnitCost,P_YS_CO_CO-REPORT_1549426494537728048
freeItem,-,P_YS_CO_CO-REPORT_1549426494537728051
showType,showType,P_YS_CO_CO-REPORT_1549426872494850078
region,-,P_YS_CO_CO-REPORT_1549426872494850099
address,address,P_YS_CO_CO-REPORT_1549426872494850102
zipcode,zipcode,P_YS_CO_CO-REPORT_1549426872494850105
telephone,telephone,P_YS_CO_CO-REPORT_1549426872494850108
innercontrolscope,-,P_YS_CO_CO-REPORT_1549426872494850111
outercontrolscope,-,P_YS_CO_CO-REPORT_1549426872494850114
